sort order,region,areaID,Run,runID,Hatchery,CISS,PWS,YAK,NSE,SSE,QCI,NBC,CBC,NWVI,SWVI,SGEO,PUSO,WAC,COL,NOR,COR,SOR,NCA,MEN,SFB,MOB
73,9.15 S OR/N CA,2,Fall,3,TRINITY R HATCHERY Fall,0,0,0,0,0,0,0,0,0.034645033,0.147241389,0.049080463,0.09527384,0.343563242,0.492248174,3.673817016,29.24040766,14.76744522,23.73617808,21.05407512,2.826457257,3.539567515
74,9.15 S OR/N CA,2,Spri,1,TRINITY R HATCHERY Spri,0,0,0,0,0,0,0,0,0.234510931,0.128602769,0.06051895,0.045389212,0.446327256,0.472804297,4.739390272,26.46191089,16.35524624,23.14471594,21.51322591,2.839347404,3.558009935
49,9.10 LCR,3,Fall,3,ABERNATHY SCDC HATCH Fall,0,0,0,0.047938639,0.119846596,0,0,0.874880153,4.686001918,31.07622244,5.213326942,12.18839885,32.92186002,8.449185043,2.888302972,0.910834132,0.275647172,0.227708533,0.119846596,0,0
50,9.10 LCR,3,Fall,3,COWLITZ SALMON HATCH Fall,0,0.020872469,0.187852223,3.047380505,1.648925068,3.214360259,3.944896681,1.617616364,7.127948236,24.36860781,3.266541432,2.337716552,20.80985181,14.80901691,10.73888541,2.776038405,0,0.041744938,0.041744938,0,0
51,9.10 LCR,3,Spri,1,COWLITZ SALMON HATCH Spri,0,0.008660258,0.287953581,1.70065818,1.319606824,1.725556422,2.494154326,2.956756445,4.930212754,26.88468866,3.309661961,3.649216247,28.61674028,18.39547069,3.181562311,0.456828613,0.028145839,0.049796484,0.004330129,0,0
52,9.10 LCR,3,Fall,3,WASHOUGAL HATCHERY Fall,0,0,1.298139334,8.156642146,2.401557767,7.875378624,5.79835569,7.031588057,9.606231069,27.65036781,4.954565123,3.526611856,12.95975768,7.096495024,1.601038511,0.043271311,0,0,0,0,0
53,9.10 LCR,3,Fall,3,BONNEVILLE HATCHERY Fall,0,0,0,1.526513123,0.669523299,0.428494912,0,1.178361007,10.12319229,39.79646492,5.141938939,7.793251205,22.09426888,5.168719871,3.508302089,2.463845742,0.107123728,0,0,0,0
55,9.10 LCR,3,Fall,3,SPRING CR NFH Fall,0,0,0,0,0,0.07092486,0.02229067,0.441085083,4.343978817,35.23547054,3.515171165,8.158385345,34.96392964,7.137067358,3.967739321,1.730566588,0.200616033,0.208721731,0.004052849,0,0
56,9.10 LCR,3,Fall,3,KLICKITAT HATCHERY Fall,0,0,1.405325444,3.069526627,0.776627219,3.513313609,5.362426036,3.402366864,4.178994083,28.95710059,5.917159763,1.849112426,22.04142012,16.1612426,3.143491124,0.221893491,0,0,0,0,0
57,9.11 UCR,3,Summ,2,SIMILKAMEEN HATCHERY Summ,0.075018755,0.075018755,6.07651913,29.48237059,5.101275319,13.65341335,6.826706677,3.075768942,12.97824456,12.45311328,2.100525131,1.650412603,4.501125281,1.27531883,0.375093773,0,0,0.300075019,0,0,0
58,9.11 UCR,3,Summ,2,Wells H/Sp Chan Summ,0,0.221852468,1.663893511,14.58679978,5.657237937,6.461453134,6.424477722,7.090035127,12.59012757,22.51802551,5.259752265,1.164725458,8.818635607,1.996672213,4.10427066,1.275651692,0.166389351,0,0,0,0
59,9.11 UCR,3,Fall,3,PRIEST RAPIDS HATCHE Fall,0.034506556,0.069013112,1.846100759,19.14251208,8.859558316,15.19582471,8.156487233,3.4894755,16.73567978,13.81124914,2.997757074,1.613181504,3.269496204,2.191166322,1.846100759,0.500345066,0.069013112,0.120772947,0.051759834,0,0
60,9.11 UCR,3,Fall,3,LYONS FERRY HATCHERY Fall,0,0,0.050632911,0.47257384,0.540084388,1.088607595,2.23628692,1.299578059,13.70464135,27.03797468,2.936708861,6.852320675,21.36708861,4.573839662,9.82278481,5.46835443,0.447257384,0.388185654,0.82419128,0.241912799,0.64697609
62,9.13 WILL,3,Spri,1,MARION FORKS HATCH Spri,0,1.282581713,2.316921804,25.83781547,8.585022755,16.71493587,14.93587091,1.36532892,5.957798924,9.43318163,1.241208109,1.717004551,6.971452213,2.2755482,0.45510964,0,0,0.724038064,0.186181216,0,0
63,9.13 WILL,3,Spri,1,MCKENZIE HATCHERY Spri,0.324939074,0.974817222,4.549147035,28.59463851,11.94151097,11.73842405,12.95694557,0.406173842,6.173842405,11.04792851,1.137286759,1.259138911,5.889520715,1.05605199,0.324939074,0.162469537,0.487408611,0.649878148,0.162469537,0.081234768,0.081234768
64,9.13 WILL,3,Spri,1,WILLAMETTE HATCHERY Spri,0.070721358,0.495049505,7.496463932,27.5106082,7.708628006,14.00282885,16.05374823,2.369165488,6.612446959,5.58698727,0.919377652,1.520509194,6.188118812,1.30834512,0.742574257,0.070721358,0,0.636492221,0.707213579,0,0
65,9.13 WILL,3,Fall,3,STAYTON PD (WILLAMET Fall,0,0,0,0.046377887,0.027826732,0.074204619,0.120582506,0.955384473,9.771820796,40.17716353,3.636026343,6.798998238,24.33911511,6.516093127,4.484741675,2.235414155,0.389574251,0.255078379,0.171598182,0,0
44,9 WA CST,4,Fall,3,HOKO FALLS HATCHERY Fall,0.056818182,0,0.454545455,18.26704545,10.08522727,10.79545455,6.761363636,1.363636364,20.79545455,5.056818182,6.193181818,19.77272727,0.397727273,0,0,0,0,0,0,0,0
45,9 WA CST,4,Spri,1,SOLDUC HATCHERY Spri,0,0.090702948,0.861678005,6.371882086,3.87755102,1.451247166,6.553287982,3.242630385,15.73696145,24.39909297,5.260770975,18.41269841,12.19954649,0.408163265,0.770975057,0.362811791,0,0,0,0,0
