Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,42737,AK,ADFG,H,CRYSTAL LAKE,1987,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,12.4,,1989,CRYSTAL CR 106-44,5/12/1989,26395,257044,,1,AD,,,,,,,LAKE BAY 223-40
TAGGED,42738,AK,ADFG,H,CRYSTAL LAKE,1987,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,12.4,,1989,CRYSTAL CR 106-44,5/12/1989,23701,222337,,1,AD,,,,,,,LENA COVE 111-50
TAGGED,43406,AK,ADFG,H,CRYSTAL LAKE,1988,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,9.51,95,1990,CRYSTAL CR 106-44,5/16/1990,20788,246808,,1,AD,,,,,,,LK ROSE TEAD 259-41
TAGGED,43407,AK,ADFG,H,CRYSTAL LAKE,1988,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,9.51,95,1990,CRYSTAL CR 106-44,5/16/1990,23977,295450,,1,AD,,,,,,,LONG LK 101-95 (UNNAMED)
TAGGED,43608,AK,ADFG,H,CRYSTAL LAKE,1989,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,13.79,108,1991,CRYSTAL CR 106-44,5/14/1991,30910,154350,Y,1,AD,,,,,,,LOWELL CR 231-30
TAGGED,43606,AK,ADFG,H,CRYSTAL LAKE,1989,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,16.53,114,1991,CRYSTAL CR 106-44,5/14/1991,28579,225561,Y,1,AD,,,,,,,LUTAK INLET 115-33
TAGGED,43607,AK,ADFG,H,CRYSTAL LAKE,1989,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,18.89,119,1991,CRYSTAL CR 106-44,5/14/1991,29727,54203,Y,1,AD,,,,,,,MEADOW CR 247-50
TAGGED,43822,AK,ADFG,H,CRYSTAL LAKE,1990,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,11.25,100,1992,CRYSTAL CR 106-44,5/15/1992,29667,132186,Y,1,AD,,,,,,,MENDENHALL R 111-50
TAGGED,43823,AK,ADFG,H,CRYSTAL LAKE,1990,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,11.99,102,1992,CRYSTAL CR 106-44,5/14/1992,29641,343030,Y,1,AD,,,,,,,MISSION LK 259-21
TAGGED,43821,AK,ADFG,H,CRYSTAL LAKE,1990,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.04,111,1992,CRYSTAL CR 106-44,5/15/1992,30762,45137,Y,1,AD,,,,,,,MONASHKA CR 259-10
