species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,197906,19790603,1979,6,6,,3,84761,0,0,S,,5000,79761,,,,,,,R-Atnarko R,BC,Bccoast,6
1,1,198105,19810506,1981,5,5,,6,39000,0,0,S,,5000,34000,,,,,,,R-Hirsch Cr,BC,Bccoast,6
1,2,198008,198008,1980,8,8,,,44837,0,0,F,,5000,30507,,,0,4044,5000,286,R-Yakoun R,BC,Bccoast,6
1,1,19810504,19810505,1981,5,5,4,5,36945,0,0,S,,5000,25676,,,5000,1210,0,59,R-Kitimat R,BC,Bccoast,6
1,2,19800701,19800704,1980,7,7,1,4,56283,0,0,S,,5000,50283,,,0,1000,,,R-Babine R,BC,Bccoast,6
1,2,19810525,19810602,1981,5,6,25,2,68115,0,0,F,,5000,44273,,,0,18842,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,19811020,19811023,1981,10,10,20,23,77602,0,0,F,,5000,62366,,,0,3988,5000,1248,R-Kispiox R Tribs,BC,Bccoast,6
1,1,19820604,19820607,1982,6,6,4,7,88360,0,0,S,,5000,10205,,,0,68000,5000,155,R-Kitimat R,BC,Bccoast,6
1,2,19790712,19790712,1979,7,7,12,12,87070,0,0,S,,5000,72741,,,0,2500,5000,1829,R-Fulton+Babine R,BC,Bccoast,6
1,1,19800507,19800511,1980,5,5,7,11,49199,0,0,S,,5000,34761,,,0,2337,5000,2101,R-Kitimat R,BC,Bccoast,6
1,2,197706,19770604,1977,6,6,,4,63223,0,0,S,,5000,45730,,,0,4016,5000,3477,R-Atnarko R,BC,Bccoast,6
1,2,197706,19770604,1977,6,6,,4,13159,0,0,S,,5000,2715,,,0,238,5000,206,R-Atnarko R,BC,Bccoast,6
1,2,197706,19770604,1977,6,6,,4,13082,0,0,S,,5000,2649,,,0,232,5000,201,R-Atnarko R,BC,Bccoast,6
1,2,19780612,19780614,1978,6,6,12,14,14316,0,0,S,,5000,9316,,,,,,,R-Atnarko R,BC,Bccoast,6
1,2,197806,19780615,1978,6,6,,15,10490,0,0,S,,5000,5490,,,,,,,R-Atnarko R,BC,Bccoast,6
